,date,MeanTemp,MinTemp,MaxTemp,MeanHum,MaxHum,MinHum,MeanDew,MinDew,Dew,CloudCover,Events,Year,Month
0,1997-01-01,4.0,2.0,NoValue,95.0,100.0,76.0,3.0,2.0,5.0,6.0,NoEvent,1997,1
1,1997-01-02,3.0,0.0,7.0,92.0,100.0,71.0,3.0,0.0,6.0,5.0,Rain,1997,1
2,1997-01-03,3.0,2.0,5.0,85.0,100.0,70.0,1.0,-1.0,5.0,6.0,Rain-Snow,1997,1
3,1997-01-04,3.0,-1.0,7.0,63.0,86.0,49.0,-3.0,-4.0,-2.0,2.0,NoEvent,1997,1
4,1997-01-05,0.0,-1.0,2.0,95.0,100.0,86.0,0.0,-3.0,2.0,7.0,Snow,1997,1
5,1997-01-06,3.0,1.0,7.0,82.0,100.0,57.0,-1.0,-3.0,2.0,4.0,NoEvent,1997,1
6,1997-01-07,0.0,-2.0,2.0,93.0,100.0,75.0,-1.0,-3.0,1.0,7.0,Snow,1997,1
7,1997-01-08,4.0,1.0,8.0,96.0,100.0,87.0,4.0,1.0,7.0,7.0,Rain,1997,1
8,1997-01-09,10.0,8.0,12.0,65.0,100.0,44.0,3.0,0.0,8.0,4.0,Rain,1997,1
9,1997-01-10,8.0,3.0,13.0,83.0,93.0,63.0,5.0,1.0,8.0,5.0,NoEvent,1997,1
10,1997-01-11,10.0,5.0,16.0,90.0,100.0,67.0,7.0,5.0,10.0,3.0,Fog,1997,1
11,1997-01-12,10.0,3.0,17.0,84.0,100.0,55.0,6.0,3.0,8.0,1.0,NoEvent,1997,1
12,1997-01-13,9.0,4.0,15.0,75.0,100.0,38.0,4.0,-1.0,9.0,4.0,Fog,1997,1
13,1997-01-14,6.0,0.0,11.0,81.0,100.0,50.0,2.0,0.0,4.0,4.0,NoEvent,1997,1
14,1997-01-15,8.0,5.0,11.0,83.0,100.0,62.0,5.0,4.0,7.0,6.0,Rain,1997,1
15,1997-01-16,9.0,6.0,12.0,89.0,100.0,72.0,7.0,6.0,8.0,6.0,NoEvent,1997,1
16,1997-01-17,9.0,5.0,13.0,78.0,100.0,47.0,5.0,1.0,9.0,4.0,Rain,1997,1
17,1997-01-18,3.0,2.0,6.0,98.0,100.0,93.0,4.0,2.0,6.0,6.0,Rain,1997,1
